instance,run_idx,seed,CW_improved,CW_initial,Dual_final,NN_improved,NN_initial
customers_10_vrptw,0,42,3675.6789945070577,3717.7223582509982,3675.6789945070577,3677.929808518156,3787.463264475549
customers_10_vrptw,1,43,3675.6789945070577,3717.7223582509982,3675.6789945070577,4401.998802831132,4762.20031086796
customers_10_vrptw,2,44,3675.678994507058,4133.309812824125,3675.678994507058,3823.089353987201,4762.02502667374
customers_10_vrptw,3,45,3675.678994507058,4138.003241361522,3675.678994507058,3888.204334253307,4687.170146677835
customers_10_vrptw,4,46,3675.6789945070577,3717.7223582509982,3675.6789945070577,3675.678994507058,4581.72943670937
customers_20_vrptw,0,42,5906.809325137768,6534.52304640536,5906.809325137768,6745.5814125358775,8823.09602351167
customers_20_vrptw,1,43,5918.794183779668,6387.792569273788,5918.794183779668,6073.01835676965,9168.609445353077
customers_20_vrptw,2,44,5988.0497559954065,6415.294730146856,5918.794183779669,5918.794183779669,7986.720324040707
customers_20_vrptw,3,45,5906.809325137769,6549.788329978914,5906.809325137769,5906.8093251377695,8415.631290296467
customers_20_vrptw,4,46,5918.794183779668,6387.792569273788,5917.990053939518,5917.990053939518,7940.4619704287215
customers_20_vrptw,5,47,5918.794183779668,6387.792569273788,5918.794183779668,6123.557402506509,8766.450705380725
customers_20_vrptw,6,48,5906.809325137768,6534.52304640536,5906.809325137768,7939.685624345339,8692.641665167052
customers_20_vrptw,7,49,5918.794183779668,6387.792569273788,5918.794183779668,7216.167384021692,8894.791352152846
customers_20_vrptw,8,50,5906.809325137768,6534.52304640536,5906.809325137768,6400.9319770494785,7856.859111349121
customers_20_vrptw,9,51,5918.794183779668,6387.792569273788,5918.794183779668,6326.0569359922765,9592.661839674603
