instance,run_idx,seed,CW_improved,CW_initial,Dual_final,NN_improved,NN_initial
customers_10_vrptw_hetero_tw,0,42,3810.8314473135906,3856.6514573290096,3810.8314473135906,4592.154139335311,5572.592180757445
customers_10_vrptw_hetero_tw,1,43,3810.8314473135906,3856.6514573290096,3810.8314473135906,5509.7889300952575,5693.325668617151
customers_10_vrptw_hetero_tw,2,44,3675.678994507058,4133.309812824125,3675.678994507058,4121.191575916935,5282.196551846239
customers_10_vrptw_hetero_tw,3,45,3675.678994507058,4138.003241361522,3675.678994507058,3675.678994507058,4995.361038222893
customers_10_vrptw_hetero_tw,4,46,3810.8314473135906,3856.6514573290096,3810.8314473135906,3929.903124210481,4458.456953510924
customers_20_vrptw_hetero_tw,0,42,5952.195874310106,6592.684395500557,5933.756747198045,5933.756747198045,8011.928196395647
customers_20_vrptw_hetero_tw,1,43,5952.195874310106,6430.688634795431,5952.195874310106,6283.837935511061,9774.85069609352
customers_20_vrptw_hetero_tw,2,44,6153.069794339701,6631.540810372912,6153.069794339701,6393.244873773033,9204.887149457238
customers_20_vrptw_hetero_tw,3,45,5952.195874310106,6592.684395500557,5952.195874310106,6207.288668818739,7533.9220339615085
customers_20_vrptw_hetero_tw,4,46,5952.195874310106,6430.688634795431,5952.195874310106,6294.778691120422,7093.296411088299
customers_20_vrptw_hetero_tw,5,47,5952.195874310106,6430.688634795431,5952.195874310106,7043.469160310937,8873.931964607567
customers_20_vrptw_hetero_tw,6,48,5952.195874310106,6592.684395500557,5952.195874310106,6447.975350904604,8970.92613937581
customers_20_vrptw_hetero_tw,7,49,5952.195874310106,6430.688634795431,5952.195874310106,6342.705828036173,8709.77269596401
customers_20_vrptw_hetero_tw,8,50,5952.195874310106,6592.684395500557,5952.195874310106,6493.8094052227625,8033.004080563625
customers_20_vrptw_hetero_tw,9,51,5952.195874310106,6430.688634795431,5952.195874310106,6393.244873773032,9947.254030531276
