instance,run_idx,seed,CW_improved,CW_initial,Dual_final,NN_improved,NN_initial
customers_10_vrptw_hetero_tw,0,42,3810.8314473135906,3856.6514573290096,3810.8314473135906,4121.191575916935,5285.439835047555
customers_10_vrptw_hetero_tw,1,43,3810.8314473135906,3856.6514573290096,3810.8314473135906,5509.7889300952575,5693.325668617151
customers_10_vrptw_hetero_tw,2,44,3675.678994507058,4133.309812824125,3675.678994507058,4121.191575916935,5533.784872513058
customers_10_vrptw_hetero_tw,3,45,3675.678994507058,4138.003241361522,3675.678994507058,3675.678994507058,4779.608231898826
customers_10_vrptw_hetero_tw,4,46,3810.8314473135906,3856.6514573290096,3810.8314473135906,4674.685697644276,5511.140862436754
customers_20_vrptw_hetero_tw,0,42,5952.195874310106,6592.684395500557,5952.195874310106,6144.295792934903,9807.625058715836
customers_20_vrptw_hetero_tw,1,43,5952.195874310106,6430.688634795431,5952.195874310106,6918.597853337693,9956.15885043078
customers_20_vrptw_hetero_tw,2,44,6153.069794339701,6631.540810372912,6153.069794339701,7367.96842041635,8190.316386059645
customers_20_vrptw_hetero_tw,3,45,5952.195874310106,6592.684395500557,5952.195874310106,6346.279565762929,7893.012991870704
customers_20_vrptw_hetero_tw,4,46,5952.195874310106,6430.688634795431,5952.195874310106,6362.665172409291,8878.937486432418
customers_20_vrptw_hetero_tw,5,47,5952.195874310106,6430.688634795431,5952.195874310106,8312.243454001893,9196.405804915745
customers_20_vrptw_hetero_tw,6,48,5952.195874310106,6592.684395500557,5952.195874310106,8333.4871855563,9987.614680257704
customers_20_vrptw_hetero_tw,7,49,5952.195874310106,6430.688634795431,5952.195874310106,8159.4083292162195,8561.867327565544
customers_20_vrptw_hetero_tw,8,50,5952.195874310106,6592.684395500557,5952.195874310106,6263.232521267397,8032.095872915355
customers_20_vrptw_hetero_tw,9,51,5952.195874310106,6430.688634795431,5952.195874310106,7197.972401305544,9847.993431553166
