instance,run_idx,seed,variant,stage,cost,routes,feasible,time_s
customers_10_vrptw,0,42,NN,initial,3787.4632644755484,3,True,0.00022983551025390625
customers_10_vrptw,0,42,NN,improved,3677.929808518156,3,True,0.0012650489807128906
customers_10_vrptw,0,42,CW,initial,3717.7223582509987,4,True,0.0002219676971435547
customers_10_vrptw,0,42,CW,improved,3675.6789945070577,4,True,0.0012290477752685547
customers_10_vrptw,0,42,Dual,final,3675.6789945070577,4,True,0.0029058456420898438
customers_10_vrptw,1,43,NN,initial,4762.20031086796,4,True,0.00019311904907226562
customers_10_vrptw,1,43,NN,improved,4401.998802831132,4,True,0.002613067626953125
customers_10_vrptw,1,43,CW,initial,3717.7223582509987,4,True,0.00019311904907226562
customers_10_vrptw,1,43,CW,improved,3675.6789945070577,4,True,0.0012359619140625
customers_10_vrptw,1,43,Dual,final,3675.6789945070577,4,True,0.0042040348052978516
customers_10_vrptw,2,44,NN,initial,4762.02502667374,4,True,0.00017309188842773438
customers_10_vrptw,2,44,NN,improved,3823.089353987201,3,True,0.002201080322265625
customers_10_vrptw,2,44,CW,initial,4133.309812824125,4,True,0.00018286705017089844
customers_10_vrptw,2,44,CW,improved,3675.678994507058,4,True,0.001967191696166992
customers_10_vrptw,2,44,Dual,final,3675.678994507058,4,True,0.004442691802978516
customers_10_vrptw,3,45,NN,initial,4687.170146677835,4,True,0.00016808509826660156
customers_10_vrptw,3,45,NN,improved,3888.2043342533075,3,True,0.0012881755828857422
customers_10_vrptw,3,45,CW,initial,4138.003241361522,4,True,0.00017714500427246094
customers_10_vrptw,3,45,CW,improved,3675.678994507058,4,True,0.0025720596313476562
customers_10_vrptw,3,45,Dual,final,3675.678994507058,4,True,0.004436016082763672
customers_10_vrptw,4,46,NN,initial,4581.72943670937,4,True,0.00019216537475585938
customers_10_vrptw,4,46,NN,improved,3675.678994507058,4,True,0.003895998001098633
customers_10_vrptw,4,46,CW,initial,3717.7223582509987,4,True,0.00020575523376464844
customers_10_vrptw,4,46,CW,improved,3675.6789945070577,4,True,0.0012879371643066406
customers_10_vrptw,4,46,Dual,final,3675.6789945070577,4,True,0.004739046096801758
customers_20_vrptw,0,42,NN,initial,8823.09602351167,7,True,0.0005090236663818359
customers_20_vrptw,0,42,NN,improved,6745.5814125358775,6,True,0.0338590145111084
customers_20_vrptw,0,42,CW,initial,6534.52304640536,7,True,0.0006089210510253906
customers_20_vrptw,0,42,CW,improved,5906.809325137768,6,True,0.021097898483276367
customers_20_vrptw,0,42,Dual,final,5906.809325137768,6,True,0.05533003807067871
customers_20_vrptw,1,43,NN,initial,9168.609445353075,7,True,0.0004978179931640625
customers_20_vrptw,1,43,NN,improved,6073.01835676965,6,True,0.040270090103149414
customers_20_vrptw,1,43,CW,initial,6387.792569273788,7,True,0.0007927417755126953
customers_20_vrptw,1,43,CW,improved,5918.794183779668,6,True,0.02141714096069336
customers_20_vrptw,1,43,Dual,final,5918.794183779668,6,True,0.0630640983581543
customers_20_vrptw,2,44,NN,initial,7986.720324040707,7,True,0.0004992485046386719
customers_20_vrptw,2,44,NN,improved,5918.794183779669,6,True,0.02561163902282715
customers_20_vrptw,2,44,CW,initial,6415.294730146856,7,True,0.0005910396575927734
customers_20_vrptw,2,44,CW,improved,5988.0497559954065,6,True,0.01328420639038086
customers_20_vrptw,2,44,Dual,final,5918.794183779669,6,True,0.03978300094604492
customers_20_vrptw,3,45,NN,initial,8415.631290296467,7,True,0.00048279762268066406
customers_20_vrptw,3,45,NN,improved,5906.8093251377695,6,True,0.05882692337036133
customers_20_vrptw,3,45,CW,initial,6549.788329978914,7,True,0.0005807876586914062
customers_20_vrptw,3,45,CW,improved,5906.809325137769,6,True,0.021934032440185547
customers_20_vrptw,3,45,Dual,final,5906.809325137769,6,True,0.08153319358825684
customers_20_vrptw,4,46,NN,initial,7940.4619704287215,7,True,0.0004773139953613281
customers_20_vrptw,4,46,NN,improved,5917.990053939518,6,True,0.015591859817504883
customers_20_vrptw,4,46,CW,initial,6387.792569273788,7,True,0.0005731582641601562
customers_20_vrptw,4,46,CW,improved,5918.794183779668,6,True,0.02136087417602539
customers_20_vrptw,4,46,Dual,final,5917.990053939518,6,True,0.038390159606933594
customers_20_vrptw,5,47,NN,initial,8766.450705380725,8,True,0.0004839897155761719
customers_20_vrptw,5,47,NN,improved,6123.557402506509,6,True,0.025932788848876953
customers_20_vrptw,5,47,CW,initial,6387.792569273788,7,True,0.0005671977996826172
customers_20_vrptw,5,47,CW,improved,5918.794183779668,6,True,0.02201104164123535
customers_20_vrptw,5,47,Dual,final,5918.794183779668,6,True,0.04871034622192383
customers_20_vrptw,6,48,NN,initial,8692.641665167052,7,True,0.0004961490631103516
customers_20_vrptw,6,48,NN,improved,7939.6856243453385,6,True,0.011817216873168945
customers_20_vrptw,6,48,CW,initial,6534.52304640536,7,True,0.0005800724029541016
customers_20_vrptw,6,48,CW,improved,5906.809325137768,6,True,0.020811080932617188
customers_20_vrptw,6,48,Dual,final,5906.809325137768,6,True,0.033685922622680664
customers_20_vrptw,7,49,NN,initial,8894.791352152846,7,True,0.0004630088806152344
customers_20_vrptw,7,49,NN,improved,7216.167384021692,6,True,0.023416996002197266
customers_20_vrptw,7,49,CW,initial,6387.792569273788,7,True,0.0005691051483154297
customers_20_vrptw,7,49,CW,improved,5918.794183779668,6,True,0.021487951278686523
