instance,run_idx,seed,variant,stage,cost,routes,feasible,time_s
customers_10_vrptw_hetero_tw,0,42,NN,initial,5572.592180757445,6,True,0.00025200843811035156
customers_10_vrptw_hetero_tw,0,42,NN,improved,4592.154139335311,4,True,0.0015540122985839844
customers_10_vrptw_hetero_tw,0,42,CW,initial,3856.6514573290096,4,True,0.0002281665802001953
customers_10_vrptw_hetero_tw,0,42,CW,improved,3810.8314473135906,4,True,0.0010859966278076172
customers_10_vrptw_hetero_tw,0,42,Dual,final,3810.8314473135906,4,True,0.0030670166015625
customers_10_vrptw_hetero_tw,1,43,NN,initial,5693.325668617151,5,True,0.0001838207244873047
customers_10_vrptw_hetero_tw,1,43,NN,improved,5509.7889300952575,4,True,0.0012750625610351562
customers_10_vrptw_hetero_tw,1,43,CW,initial,3856.6514573290096,4,True,0.0001957416534423828
customers_10_vrptw_hetero_tw,1,43,CW,improved,3810.8314473135906,4,True,0.0010728836059570312
customers_10_vrptw_hetero_tw,1,43,Dual,final,3810.8314473135906,4,True,0.0029001235961914062
customers_10_vrptw_hetero_tw,2,44,NN,initial,5282.196551846239,6,True,0.0001850128173828125
customers_10_vrptw_hetero_tw,2,44,NN,improved,4121.191575916935,4,True,0.003566741943359375
customers_10_vrptw_hetero_tw,2,44,CW,initial,4133.309812824125,4,True,0.0001800060272216797
customers_10_vrptw_hetero_tw,2,44,CW,improved,3675.678994507058,4,True,0.00177001953125
customers_10_vrptw_hetero_tw,2,44,Dual,final,3675.678994507058,4,True,0.005646228790283203
customers_10_vrptw_hetero_tw,3,45,NN,initial,4995.361038222893,5,True,0.0001747608184814453
customers_10_vrptw_hetero_tw,3,45,NN,improved,3675.678994507058,4,True,0.003063201904296875
customers_10_vrptw_hetero_tw,3,45,CW,initial,4138.003241361522,4,True,0.00017595291137695312
customers_10_vrptw_hetero_tw,3,45,CW,improved,3675.678994507058,4,True,0.0023469924926757812
customers_10_vrptw_hetero_tw,3,45,Dual,final,3675.678994507058,4,True,0.006020069122314453
customers_10_vrptw_hetero_tw,4,46,NN,initial,4458.456953510924,5,True,0.0002002716064453125
customers_10_vrptw_hetero_tw,4,46,NN,improved,3929.903124210481,4,True,0.0015201568603515625
customers_10_vrptw_hetero_tw,4,46,CW,initial,3856.6514573290096,4,True,0.00020313262939453125
customers_10_vrptw_hetero_tw,4,46,CW,improved,3810.8314473135906,4,True,0.0011172294616699219
customers_10_vrptw_hetero_tw,4,46,Dual,final,3810.8314473135906,4,True,0.0028638839721679688
customers_20_vrptw_hetero_tw,0,42,NN,initial,8011.928196395647,8,True,0.0005021095275878906
