instance,run_idx,seed,variant,stage,cost,routes,feasible,time_s
customers_10_vrptw_hetero_tw,0,42,NN,initial,5285.439835047555,5,True,0.0002429485321044922
customers_10_vrptw_hetero_tw,0,42,NN,improved,4121.191575916935,4,True,0.0032567977905273438
customers_10_vrptw_hetero_tw,0,42,CW,initial,3856.6514573290096,4,True,0.00023818016052246094
customers_10_vrptw_hetero_tw,0,42,CW,improved,3810.8314473135906,4,True,0.0010869503021240234
customers_10_vrptw_hetero_tw,0,42,Dual,final,3810.8314473135906,4,True,0.004804849624633789
customers_10_vrptw_hetero_tw,1,43,NN,initial,5693.325668617151,5,True,0.00020813941955566406
customers_10_vrptw_hetero_tw,1,43,NN,improved,5509.7889300952575,4,True,0.0014150142669677734
customers_10_vrptw_hetero_tw,1,43,CW,initial,3856.6514573290096,4,True,0.0001919269561767578
customers_10_vrptw_hetero_tw,1,43,CW,improved,3810.8314473135906,4,True,0.0010790824890136719
customers_10_vrptw_hetero_tw,1,43,Dual,final,3810.8314473135906,4,True,0.0027451515197753906
customers_10_vrptw_hetero_tw,2,44,NN,initial,5533.784872513058,6,True,0.00017189979553222656
customers_10_vrptw_hetero_tw,2,44,NN,improved,4121.191575916935,4,True,0.003979921340942383
customers_10_vrptw_hetero_tw,2,44,CW,initial,4133.309812824125,4,True,0.00019812583923339844
customers_10_vrptw_hetero_tw,2,44,CW,improved,3675.678994507058,4,True,0.0017719268798828125
customers_10_vrptw_hetero_tw,2,44,Dual,final,3675.678994507058,4,True,0.006276130676269531
customers_10_vrptw_hetero_tw,3,45,NN,initial,4779.608231898826,5,True,0.0001850128173828125
customers_10_vrptw_hetero_tw,3,45,NN,improved,3675.678994507058,4,True,0.0034341812133789062
customers_10_vrptw_hetero_tw,3,45,CW,initial,4138.003241361522,4,True,0.00018310546875
customers_10_vrptw_hetero_tw,3,45,CW,improved,3675.678994507058,4,True,0.002373933792114258
customers_10_vrptw_hetero_tw,3,45,Dual,final,3675.678994507058,4,True,0.00618290901184082
customers_10_vrptw_hetero_tw,4,46,NN,initial,5511.140862436754,5,True,0.00018095970153808594
customers_10_vrptw_hetero_tw,4,46,NN,improved,4674.685697644276,4,True,0.0064470767974853516
customers_10_vrptw_hetero_tw,4,46,CW,initial,3856.6514573290096,4,True,0.0001919269561767578
customers_10_vrptw_hetero_tw,4,46,CW,improved,3810.8314473135906,4,True,0.001119375228881836
customers_10_vrptw_hetero_tw,4,46,Dual,final,3810.8314473135906,4,True,0.008239984512329102
customers_20_vrptw_hetero_tw,0,42,NN,initial,9807.625058715837,10,True,0.0005292892456054688
customers_20_vrptw_hetero_tw,0,42,NN,improved,6144.295792934903,6,True,0.020580053329467773
customers_20_vrptw_hetero_tw,0,42,CW,initial,6592.684395500557,7,True,0.0005838871002197266
customers_20_vrptw_hetero_tw,0,42,CW,improved,5952.195874310106,6,True,0.024629831314086914
customers_20_vrptw_hetero_tw,0,42,Dual,final,5952.195874310106,6,True,0.0456089973449707
customers_20_vrptw_hetero_tw,1,43,NN,initial,9956.15885043078,9,True,0.0004858970642089844
customers_20_vrptw_hetero_tw,1,43,NN,improved,6918.597853337693,6,True,0.058851003646850586
customers_20_vrptw_hetero_tw,1,43,CW,initial,6430.688634795431,7,True,0.0005939006805419922
customers_20_vrptw_hetero_tw,1,43,CW,improved,5952.195874310106,6,True,0.01410984992980957
customers_20_vrptw_hetero_tw,1,43,Dual,final,5952.195874310106,6,True,0.07396984100341797
customers_20_vrptw_hetero_tw,2,44,NN,initial,8190.316386059645,8,True,0.0004961490631103516
customers_20_vrptw_hetero_tw,2,44,NN,improved,7367.96842041635,7,True,0.015467166900634766
customers_20_vrptw_hetero_tw,2,44,CW,initial,6631.540810372912,7,True,0.0005838871002197266
customers_20_vrptw_hetero_tw,2,44,CW,improved,6153.069794339701,6,True,0.012310028076171875
customers_20_vrptw_hetero_tw,2,44,Dual,final,6153.069794339701,6,True,0.02868795394897461
customers_20_vrptw_hetero_tw,3,45,NN,initial,7893.012991870704,8,True,0.0004961490631103516
customers_20_vrptw_hetero_tw,3,45,NN,improved,6346.279565762929,6,True,0.01841568946838379
customers_20_vrptw_hetero_tw,3,45,CW,initial,6592.684395500557,7,True,0.0005719661712646484
customers_20_vrptw_hetero_tw,3,45,CW,improved,5952.195874310106,6,True,0.02430415153503418
customers_20_vrptw_hetero_tw,3,45,Dual,final,5952.195874310106,6,True,0.043760061264038086
customers_20_vrptw_hetero_tw,4,46,NN,initial,8878.937486432418,9,True,0.0004868507385253906
customers_20_vrptw_hetero_tw,4,46,NN,improved,6362.665172409291,6,True,0.05903315544128418
customers_20_vrptw_hetero_tw,4,46,CW,initial,6430.688634795431,7,True,0.0005850791931152344
customers_20_vrptw_hetero_tw,4,46,CW,improved,5952.195874310106,6,True,0.013967037200927734
customers_20_vrptw_hetero_tw,4,46,Dual,final,5952.195874310106,6,True,0.07398772239685059
customers_20_vrptw_hetero_tw,5,47,NN,initial,9196.405804915743,8,True,0.0004940032958984375
customers_20_vrptw_hetero_tw,5,47,NN,improved,8312.243454001893,7,True,0.015984058380126953
customers_20_vrptw_hetero_tw,5,47,CW,initial,6430.688634795431,7,True,0.0005970001220703125
customers_20_vrptw_hetero_tw,5,47,CW,improved,5952.195874310106,6,True,0.014065027236938477
customers_20_vrptw_hetero_tw,5,47,Dual,final,5952.195874310106,6,True,0.03095102310180664
customers_20_vrptw_hetero_tw,6,48,NN,initial,9987.614680257704,9,True,0.0004868507385253906
customers_20_vrptw_hetero_tw,6,48,NN,improved,8333.4871855563,7,True,0.017937898635864258
customers_20_vrptw_hetero_tw,6,48,CW,initial,6592.684395500557,7,True,0.0005929470062255859
customers_20_vrptw_hetero_tw,6,48,CW,improved,5952.195874310106,6,True,0.02438497543334961
customers_20_vrptw_hetero_tw,6,48,Dual,final,5952.195874310106,6,True,0.043276071548461914
customers_20_vrptw_hetero_tw,7,49,NN,initial,8561.867327565544,8,True,0.000453948974609375
customers_20_vrptw_hetero_tw,7,49,NN,improved,8159.4083292162195,7,True,0.007308006286621094
customers_20_vrptw_hetero_tw,7,49,CW,initial,6430.688634795431,7,True,0.0005700588226318359
customers_20_vrptw_hetero_tw,7,49,CW,improved,5952.195874310106,6,True,0.014081001281738281
customers_20_vrptw_hetero_tw,7,49,Dual,final,5952.195874310106,6,True,0.022430896759033203
customers_20_vrptw_hetero_tw,8,50,NN,initial,8032.095872915355,8,True,0.0004839897155761719
customers_20_vrptw_hetero_tw,8,50,NN,improved,6263.232521267397,6,True,0.007608652114868164
customers_20_vrptw_hetero_tw,8,50,CW,initial,6592.684395500557,7,True,0.0005681514739990234
customers_20_vrptw_hetero_tw,8,50,CW,improved,5952.195874310106,6,True,0.024473905563354492
customers_20_vrptw_hetero_tw,8,50,Dual,final,5952.195874310106,6,True,0.03266406059265137
customers_20_vrptw_hetero_tw,9,51,NN,initial,9847.993431553166,10,True,0.0006301403045654297
customers_20_vrptw_hetero_tw,9,51,NN,improved,7197.972401305544,7,True,0.02906179428100586
customers_20_vrptw_hetero_tw,9,51,CW,initial,6430.688634795431,7,True,0.0005810260772705078
customers_20_vrptw_hetero_tw,9,51,CW,improved,5952.195874310106,6,True,0.014079093933105469
customers_20_vrptw_hetero_tw,9,51,Dual,final,5952.195874310106,6,True,0.04414010047912598
