instance,run_idx,seed,variant,stage,cost,routes,feasible,time_s
customers_10_vrptw,0,42,NN,initial,3787.4632644755484,3,True,0.00024390220642089844
customers_10_vrptw,0,42,NN,improved,3677.929808518156,3,True,0.0012660026550292969
customers_10_vrptw,0,42,CW,initial,3717.7223582509987,4,True,0.00022602081298828125
customers_10_vrptw,0,42,CW,improved,3675.6789945070577,4,True,0.0012328624725341797
customers_10_vrptw,0,42,Dual,final,3675.6789945070577,4,True,0.002836942672729492
customers_10_vrptw,1,43,NN,initial,4762.20031086796,4,True,0.0002582073211669922
customers_10_vrptw,1,43,NN,improved,4401.998802831132,4,True,0.0025751590728759766
customers_10_vrptw,1,43,CW,initial,3717.7223582509987,4,True,0.0001983642578125
customers_10_vrptw,1,43,CW,improved,3675.6789945070577,4,True,0.0012328624725341797
customers_10_vrptw,1,43,Dual,final,3675.6789945070577,4,True,0.004645109176635742
customers_10_vrptw,2,44,NN,initial,4762.02502667374,4,True,0.00027489662170410156
customers_10_vrptw,2,44,NN,improved,3823.089353987201,3,True,0.002288818359375
customers_10_vrptw,2,44,CW,initial,4133.309812824125,4,True,0.00019502639770507812
customers_10_vrptw,2,44,CW,improved,3675.678994507058,4,True,0.0019609928131103516
customers_10_vrptw,2,44,Dual,final,3675.678994507058,4,True,0.004503011703491211
customers_10_vrptw,3,45,NN,initial,4687.170146677835,4,True,0.00017309188842773438
customers_10_vrptw,3,45,NN,improved,3888.2043342533075,3,True,0.0012660026550292969
customers_10_vrptw,3,45,CW,initial,4138.003241361522,4,True,0.00017833709716796875
customers_10_vrptw,3,45,CW,improved,3675.678994507058,4,True,0.0026700496673583984
customers_10_vrptw,3,45,Dual,final,3675.678994507058,4,True,0.0041348934173583984
customers_10_vrptw,4,46,NN,initial,4581.72943670937,4,True,0.0001690387725830078
customers_10_vrptw,4,46,NN,improved,3675.678994507058,4,True,0.0033311843872070312
customers_10_vrptw,4,46,CW,initial,3717.7223582509987,4,True,0.00020003318786621094
customers_10_vrptw,4,46,CW,improved,3675.6789945070577,4,True,0.0012416839599609375
customers_10_vrptw,4,46,Dual,final,3675.6789945070577,4,True,0.004891157150268555
customers_20_vrptw,0,42,NN,initial,8823.09602351167,7,True,0.0005137920379638672
customers_20_vrptw,0,42,NN,improved,6745.5814125358775,6,True,0.03400397300720215
customers_20_vrptw,0,42,CW,initial,6534.52304640536,7,True,0.0005812644958496094
customers_20_vrptw,0,42,CW,improved,5906.809325137768,6,True,0.02089214324951172
customers_20_vrptw,0,42,Dual,final,5906.809325137768,6,True,0.058049678802490234
customers_20_vrptw,1,43,NN,initial,9168.609445353075,7,True,0.0005099773406982422
customers_20_vrptw,1,43,NN,improved,6073.01835676965,6,True,0.04097890853881836
customers_20_vrptw,1,43,CW,initial,6387.792569273788,7,True,0.0005970001220703125
customers_20_vrptw,1,43,CW,improved,5918.794183779668,6,True,0.021902084350585938
customers_20_vrptw,1,43,Dual,final,5918.794183779668,6,True,0.06412696838378906
customers_20_vrptw,2,44,NN,initial,7986.720324040707,7,True,0.0004968643188476562
customers_20_vrptw,2,44,NN,improved,5918.794183779669,6,True,0.02615809440612793
customers_20_vrptw,2,44,CW,initial,6415.294730146856,7,True,0.0005860328674316406
customers_20_vrptw,2,44,CW,improved,5988.0497559954065,6,True,0.013446807861328125
customers_20_vrptw,2,44,Dual,final,5918.794183779669,6,True,0.04039192199707031
customers_20_vrptw,3,45,NN,initial,8415.631290296467,7,True,0.0004849433898925781
customers_20_vrptw,3,45,NN,improved,5906.8093251377695,6,True,0.06001687049865723
customers_20_vrptw,3,45,CW,initial,6549.788329978914,7,True,0.0005807876586914062
customers_20_vrptw,3,45,CW,improved,5906.809325137769,6,True,0.022413015365600586
customers_20_vrptw,3,45,Dual,final,5906.809325137769,6,True,0.08313226699829102
customers_20_vrptw,4,46,NN,initial,7940.4619704287215,7,True,0.00048613548278808594
customers_20_vrptw,4,46,NN,improved,5917.990053939518,6,True,0.015882015228271484
customers_20_vrptw,4,46,CW,initial,6387.792569273788,7,True,0.0005671977996826172
customers_20_vrptw,4,46,CW,improved,5918.794183779668,6,True,0.021687984466552734
customers_20_vrptw,4,46,Dual,final,5917.990053939518,6,True,0.03884482383728027
customers_20_vrptw,5,47,NN,initial,8766.450705380725,8,True,0.0004937648773193359
customers_20_vrptw,5,47,NN,improved,6123.557402506509,6,True,0.026320695877075195
customers_20_vrptw,5,47,CW,initial,6387.792569273788,7,True,0.000576019287109375
customers_20_vrptw,5,47,CW,improved,5918.794183779668,6,True,0.022010087966918945
customers_20_vrptw,5,47,Dual,final,5918.794183779668,6,True,0.049465179443359375
customers_20_vrptw,6,48,NN,initial,8692.641665167052,7,True,0.000492095947265625
customers_20_vrptw,6,48,NN,improved,7939.6856243453385,6,True,0.011959075927734375
customers_20_vrptw,6,48,CW,initial,6534.52304640536,7,True,0.0005710124969482422
customers_20_vrptw,6,48,CW,improved,5906.809325137768,6,True,0.021271944046020508
customers_20_vrptw,6,48,Dual,final,5906.809325137768,6,True,0.03399395942687988
customers_20_vrptw,7,49,NN,initial,8894.791352152846,7,True,0.00046896934509277344
customers_20_vrptw,7,49,NN,improved,7216.167384021692,6,True,0.023663759231567383
customers_20_vrptw,7,49,CW,initial,6387.792569273788,7,True,0.0005679130554199219
customers_20_vrptw,7,49,CW,improved,5918.794183779668,6,True,0.0217897891998291
