instance,run_idx,seed,variant,stage,cost,routes,feasible,time_s
customers_10_vrptw,0,42,NN,initial,3787.4632644755484,3,True,0.00022077560424804688
customers_10_vrptw,0,42,NN,improved,3677.929808518156,3,True,0.001299142837524414
customers_10_vrptw,0,42,CW,initial,3717.7223582509987,4,True,0.0002148151397705078
customers_10_vrptw,0,42,CW,improved,3675.6789945070577,4,True,0.0012390613555908203
customers_10_vrptw,0,42,Dual,final,3675.6789945070577,4,True,0.0027952194213867188
customers_10_vrptw,1,43,NN,initial,4762.20031086796,4,True,0.00016689300537109375
customers_10_vrptw,1,43,NN,improved,4401.998802831132,4,True,0.0026640892028808594
customers_10_vrptw,1,43,CW,initial,3717.7223582509987,4,True,0.00020003318786621094
customers_10_vrptw,1,43,CW,improved,3675.6789945070577,4,True,0.0012340545654296875
customers_10_vrptw,1,43,Dual,final,3675.6789945070577,4,True,0.004297018051147461
customers_10_vrptw,2,44,NN,initial,4762.02502667374,4,True,0.0001659393310546875
customers_10_vrptw,2,44,NN,improved,3823.089353987201,3,True,0.002414226531982422
customers_10_vrptw,2,44,CW,initial,4133.309812824125,4,True,0.0001888275146484375
customers_10_vrptw,2,44,CW,improved,3675.678994507058,4,True,0.001970052719116211
customers_10_vrptw,2,44,Dual,final,3675.678994507058,4,True,0.004578113555908203
customers_10_vrptw,3,45,NN,initial,4687.170146677835,4,True,0.00016880035400390625
customers_10_vrptw,3,45,NN,improved,3888.2043342533075,3,True,0.0012788772583007812
customers_10_vrptw,3,45,CW,initial,4138.003241361522,4,True,0.00018477439880371094
customers_10_vrptw,3,45,CW,improved,3675.678994507058,4,True,0.0025949478149414062
customers_10_vrptw,3,45,Dual,final,3675.678994507058,4,True,0.0041196346282958984
customers_10_vrptw,4,46,NN,initial,4581.72943670937,4,True,0.00016117095947265625
customers_10_vrptw,4,46,NN,improved,3675.678994507058,4,True,0.0033121109008789062
customers_10_vrptw,4,46,CW,initial,3717.7223582509987,4,True,0.0001888275146484375
customers_10_vrptw,4,46,CW,improved,3675.6789945070577,4,True,0.0012409687042236328
customers_10_vrptw,4,46,Dual,final,3675.6789945070577,4,True,0.004842042922973633
customers_20_vrptw,0,42,NN,initial,8823.09602351167,7,True,0.00048089027404785156
customers_20_vrptw,0,42,NN,improved,6745.5814125358775,6,True,0.03419208526611328
customers_20_vrptw,0,42,CW,initial,6534.52304640536,7,True,0.0005857944488525391
customers_20_vrptw,0,42,CW,improved,5906.809325137768,6,True,0.02180004119873047
customers_20_vrptw,0,42,Dual,final,5906.809325137768,6,True,0.05534100532531738
customers_20_vrptw,1,43,NN,initial,9168.609445353075,7,True,0.00047707557678222656
customers_20_vrptw,1,43,NN,improved,6073.01835676965,6,True,0.04024910926818848
customers_20_vrptw,1,43,CW,initial,6387.792569273788,7,True,0.0006048679351806641
customers_20_vrptw,1,43,CW,improved,5918.794183779668,6,True,0.021615982055664062
customers_20_vrptw,1,43,Dual,final,5918.794183779668,6,True,0.06359696388244629
customers_20_vrptw,2,44,NN,initial,7986.720324040707,7,True,0.00047707557678222656
customers_20_vrptw,2,44,NN,improved,5918.794183779669,6,True,0.025523900985717773
customers_20_vrptw,2,44,CW,initial,6415.294730146856,7,True,0.0005848407745361328
customers_20_vrptw,2,44,CW,improved,5988.0497559954065,6,True,0.013441085815429688
customers_20_vrptw,2,44,Dual,final,5918.794183779669,6,True,0.03992605209350586
customers_20_vrptw,3,45,NN,initial,8415.631290296467,7,True,0.00045609474182128906
customers_20_vrptw,3,45,NN,improved,5906.8093251377695,6,True,0.05898904800415039
customers_20_vrptw,3,45,CW,initial,6549.788329978914,7,True,0.0005807876586914062
customers_20_vrptw,3,45,CW,improved,5906.809325137769,6,True,0.021867036819458008
customers_20_vrptw,3,45,Dual,final,5906.809325137769,6,True,0.08212518692016602
customers_20_vrptw,4,46,NN,initial,7940.4619704287215,7,True,0.0004711151123046875
customers_20_vrptw,4,46,NN,improved,5917.990053939518,6,True,0.015552997589111328
customers_20_vrptw,4,46,CW,initial,6387.792569273788,7,True,0.0005767345428466797
customers_20_vrptw,4,46,CW,improved,5918.794183779668,6,True,0.021509170532226562
customers_20_vrptw,4,46,Dual,final,5917.990053939518,6,True,0.03816390037536621
customers_20_vrptw,5,47,NN,initial,8766.450705380725,8,True,0.0004620552062988281
customers_20_vrptw,5,47,NN,improved,6123.557402506509,6,True,0.026105880737304688
customers_20_vrptw,5,47,CW,initial,6387.792569273788,7,True,0.0005750656127929688
customers_20_vrptw,5,47,CW,improved,5918.794183779668,6,True,0.021687030792236328
customers_20_vrptw,5,47,Dual,final,5918.794183779668,6,True,0.048830270767211914
customers_20_vrptw,6,48,NN,initial,8692.641665167052,7,True,0.00047397613525390625
customers_20_vrptw,6,48,NN,improved,7939.6856243453385,6,True,0.011831998825073242
customers_20_vrptw,6,48,CW,initial,6534.52304640536,7,True,0.0005831718444824219
customers_20_vrptw,6,48,CW,improved,5906.809325137768,6,True,0.021136999130249023
customers_20_vrptw,6,48,Dual,final,5906.809325137768,6,True,0.03371000289916992
customers_20_vrptw,7,49,NN,initial,8894.791352152846,7,True,0.00045800209045410156
customers_20_vrptw,7,49,NN,improved,7216.167384021692,6,True,0.02358388900756836
customers_20_vrptw,7,49,CW,initial,6387.792569273788,7,True,0.0005676746368408203
customers_20_vrptw,7,49,CW,improved,5918.794183779668,6,True,0.021440982818603516
customers_20_vrptw,7,49,Dual,final,5918.794183779668,6,True,0.046234846115112305
